,country,province,region_1,region_2,winery
8632,Portugal,Bairrada,,,Nelson Neves
8634,US,America,,,Prophecy
8637,Italy,Veneto,Valpolicella Classico Superiore Ripasso,,Farina
8638,France,Languedoc-Roussillon,Côtes du Roussillon Villages Tautavel,,Les Vignerons de Tautavel Vingrau
8639,France,Burgundy,Crémant de Bourgogne,,Louis Bouillot
8640,France,Languedoc-Roussillon,Côtes du Roussillon Villages,,Domaine du Clos des Fées
8641,Spain,Catalonia,Priorat,,Finca Tobella
8644,Portugal,Port,,,Quinta Vale Dona Maria
8645,Italy,Veneto,Amarone della Valpolicella Classico,,Recchia
8650,Italy,Veneto,Valpolicella Classico Superiore Ripasso,,La Dama
8652,US,California,Santa Lucia Highlands,Central Coast,Mansfield-Dunne
8660,US,California,Arroyo Seco,Central Coast,Muirwood
8662,US,California,Lodi,Central Valley,Nine North Wine Company
8665,US,Washington,Columbia Valley (WA),Columbia Valley,Tenor
8667,US,California,Paso Robles,Central Coast,Graveyard
8670,US,Washington,Red Mountain,Columbia Valley,Hedges
8671,US,California,Sonoma County,Sonoma,Hensteeth
8672,France,Loire Valley,Sancerre,,Jean Reverdy et Fils
8675,US,California,Russian River Valley,Sonoma,Killian
8677,US,California,Howell Mountain,Napa,Kristodd
8679,France,Rhône Valley,Tavel,,Les Vignerons de Tavel
8684,Italy,Piedmont,Barolo,,Enzo Boglietti
8689,Spain,Northern Spain,Bierzo,,Vega Montán
8695,Italy,Southern Italy,Aglianico del Taburno,,Cantina del Taburno
8697,Chile,San Antonio,,,Casa Marin
8698,France,Bordeaux,Haut-Médoc,,Château Bernadotte
8699,France,Bordeaux,Pessac-Léognan,,Château Brown
8701,France,Bordeaux,Margaux,,Château Deyrem Valentin
8702,France,Bordeaux,Pomerol,,Château la Cabanne
8704,France,Languedoc-Roussillon,Corbières,,Château Les Palais
8708,Italy,Southern Italy,Castel del Monte,,Agrinatura
8710,South Africa,Stellenbosch,,,Rustenberg
8711,Italy,Southern Italy,Castel del Monte,,Santa Lucia
8712,Italy,Veneto,Valpolicella Superiore Ripasso,,Stefano Accordini
8718,New Zealand,Central Otago,,,Nanny Goat
8725,Italy,Central Italy,Umbria,,Tenuta Vitalonga
8727,Portugal,Vinho Verde,,,Vera
8731,Italy,Central Italy,Colli di Faenza,,Rontana
8734,Italy,Central Italy,Sangiovese di Romagna,,Tenuta Amalia
8735,Italy,Central Italy,Umbria,,Roccafiore
8736,Italy,Tuscany,Chianti Classico,,Castelli del Grevepesa
8738,US,California,Paso Robles,Central Coast,Eberle
8740,US,New York,Finger Lakes,Finger Lakes,Shalestone
8745,US,New York,Finger Lakes,Finger Lakes,Tierce
8746,Italy,Tuscany,Rosso di Montalcino,,Tornesi
8748,Italy,Piedmont,Nebbiolo d'Alba,,Veglio
8752,France,Southwest France,Cahors,,Château de Hauterive
8755,France,Southwest France,Jurançon,,Domaine Cauhapé
8762,Chile,Maule Valley,,,Altamana
8767,Italy,Tuscany,Rosso di Montepulciano,,Il Conventino
8769,New Zealand,Central Otago,,,Peregrine
8773,Italy,Southern Italy,Taurasi,,Pietracupa
8777,US,California,Sta. Rita Hills,Central Coast,Roblar
8778,Turkey,Aegean,,,Sevilen
8784,Spain,Northern Spain,Ribera del Duero,,Tierras Guindas
8788,US,Washington,Red Mountain,Columbia Valley,Kaella
8790,US,California,Temecula Valley,South Coast,Leoness
8793,Spain,Northern Spain,Bierzo,,Luna Beberide
8794,France,Burgundy,Mâcon,,Maison Champy
8799,France,Burgundy,Meursault,,Domaine Chantal Lescure
8800,Italy,Tuscany,Brunello di Montalcino,,Podere La Vigna
8801,Italy,Tuscany,Brunello di Montalcino,,Poggio Rubino
8802,Italy,Tuscany,Brunello di Montalcino,,San Filippo
8803,Italy,Tuscany,Brunello di Montalcino,,Lazzeretti
8804,US,Washington,Columbia Valley (WA),Columbia Valley,Locati Cellars
8805,Italy,Piedmont,Roero,,Mauro Sebaste
8806,US,Washington,Columbia Valley (WA),Columbia Valley,Merry Cellars
8809,Italy,Piedmont,Langhe,,Pasquale Pelissero
8810,Italy,Tuscany,Brunello di Montalcino,,Pinino
8815,Italy,Tuscany,Brunello di Montalcino,,Tassi
8819,France,Bordeaux,Bordeaux Blanc,,Château Ducasse
8820,France,Bordeaux,Médoc,,Château Escot
8821,France,Bordeaux,Haut-Médoc,,Château Hourtin-Ducasse
8822,France,Bordeaux,Castillon Côtes de Bordeaux,,Château Picoron
8823,France,Bordeaux,Haut-Médoc,,Château Reysson
8824,France,Bordeaux,Bordeaux Blanc,,Château Tanesse
8828,France,Bordeaux,Médoc,,Goulée
8832,US,California,Sta. Rita Hills,Central Coast,Ancien
8833,US,California,Sonoma Coast,Sonoma,Boheme
8837,France,Bordeaux,Margaux,,Château Durfort-Vivens
8838,France,Bordeaux,Saint-Émilion,,Château la Dominique
8845,Spain,Northern Spain,Ribera del Duero,,Garmón
8847,Italy,Piedmont,Barolo,,Gigi Rosso
8851,US,California,Napa Valley,Napa,Rossi Wallace
8855,US,Washington,Walla Walla Valley (WA),Columbia Valley,Block Wines
8856,US,California,Santa Barbara County,Central Coast,Carucci
8858,France,Bordeaux,Margaux,,Château Rauzan-Ségla
8861,US,California,Howell Mountain,Napa,La Jota Vineyard
8870,US,California,Napa Valley,Napa,Portfolio
8871,France,Bordeaux,Saint-Julien,,Château Léoville Barton
8872,US,California,California,California Other,Herman Story
8873,France,Bordeaux,Pauillac,,Château Pichon Longueville
8876,US,California,Oakville,Napa,Far Niente
8883,Italy,Piedmont,Boca,,Le Piane
8884,US,California,Napa Valley,Napa,Macauley
8888,France,Burgundy,Corton,,Camille Giroud
8892,France,Burgundy,Volnay,,Domaine de la Pousse d'Or
8901,Italy,Piedmont,Barbaresco,,Roberto Sarotto
8904,Italy,Piedmont,Barolo,,Germano Angelo
8907,Italy,Piedmont,Barolo,,Bric Cenciurio
8915,US,California,Edna Valley,Central Coast,Baileyana
8916,France,Beaujolais,Morgon,,Domaine Jean Foillard
8917,Portugal,Douro,,,Quinta do Passadouro
8918,Italy,Tuscany,Chianti Classico,,Felsina
8919,US,California,Dry Creek Valley,Sonoma,Fritz
8920,US,California,Sonoma County,Sonoma,Chateau St. Jean
8922,France,Beaujolais,Fleurie,,Domaine Chignard
8927,Italy,Tuscany,Chianti Classico,,Dievole
8931,Italy,Tuscany,Chianti Classico,,San Fabiano Calcinaia
8933,Australia,Victoria,Victoria,,Mount Langi Ghiran
8937,Australia,South Australia,McLaren Vale,,Coriole
8938,New Zealand,Martinborough,,,Ata Rangi
8939,France,Beaujolais,Morgon,,Jean-Paul Thevenet
8940,Chile,Colchagua Valley,,,Santa Helena
8945,France,Bordeaux,Médoc,,Château Pierre de Montignac
8946,France,Beaujolais,Juliénas,,Clos de Haute-Combe
8948,France,Beaujolais,Beaujolais-Villages,,Domaine des Nugues
8954,Italy,Southern Italy,Primitivo di Manduria,,Matané
8955,Chile,Rapel Valley,,,Misiones de Rengo
8959,US,Oregon,Eola-Amity Hills,Willamette Valley,Redhawk
8961,US,Oregon,Walla Walla Valley (OR),Oregon Other,Seven Bridges
8967,US,California,Napa Valley,Napa,Axios
8969,France,Southwest France,Fronton,,Château Bouissel
8976,Spain,Northern Spain,Rioja,,Viñedos de Paganos
8979,Italy,Piedmont,Barbaresco,,Giuseppe Cortese
8982,US,California,Santa Ynez Valley,Central Coast,Cent'Anni
8983,France,Loire Valley,Sancerre,,Domaine Gérard Fiou
8986,Italy,Tuscany,Maremma Toscana,,Fattoria Le Pupille
8988,France,Loire Valley,Sancerre,,Domaine Jean-Paul Balland
8992,US,California,San Luis Obispo County,Central Coast,Sinor-LaVallee
8998,US,Washington,Columbia Valley (WA),Columbia Valley,Baer
9001,US,California,Carneros,Napa-Sonoma,Molnar Family
9006,Argentina,Mendoza Province,Uco Valley,,Bodega Aconquija
9009,US,Oregon,Oregon,Oregon Other,Spindrift Cellars
9012,Spain,Northern Spain,Rioja,,Luis Alegre
9013,Italy,Central Italy,Montepulciano d'Abruzzo Colline Teramane,,Farnese
9016,Argentina,Mendoza Province,Mendoza,,Weinert
9021,France,Bordeaux,Sauternes,,Château Lamothe Guignard
9023,Australia,South Australia,Barossa,,Creed of Barossa
9025,Austria,Kremstal,,,Hermann Moser
9030,Austria,Vienna,,,Lenikus
9035,France,Loire Valley,Sancerre,,Vignobles Berthier
9036,Germany,Mosel,,,Villa Huesgen
9040,Portugal,Dão,,,Fontes da Cunha
9041,Italy,Northeastern Italy,Collio,,Gradis'ciutta
9042,Italy,Northeastern Italy,Alto Adige,,Niedermayr Josef
9046,US,Oregon,Willamette Valley,Willamette Valley,Scott Paul
9048,Germany,Mosel,,,St. Urbans-Hof
9058,Chile,Marchigue,,,Polkura
9059,Italy,Piedmont,Barbaresco,,Cascina Luisin
9060,Italy,Piedmont,Barbera d'Asti Superiore,,Castello Gabiano
9065,France,Burgundy,Savigny-lès-Beaune,,Domaine Françoise André
9067,US,Washington,Columbia Valley (WA),Columbia Valley,Eternal
9068,US,New York,North Fork of Long Island,Long Island,Harbes Family Vineyard
9071,Chile,Casablanca Valley,,,Ritual
9075,US,California,Central Coast,Central Coast,Tensley
9076,Spain,Catalonia,Priorat,,Terroir Al Límit
9077,Spain,Northern Spain,Rueda,,Vetus
9078,Italy,Piedmont,Barbera d'Asti Superiore,,Vigne dei Mastri
9079,France,Beaujolais,Fleurie,,Vignobles Bulliat
9083,France,Burgundy,Montagny,,Arnaud Baillot
9084,US,California,Santa Cruz Mountains,Central Coast,Bargetto
9085,Portugal,Douro,,,Douro Family Estates
9086,Italy,Tuscany,Rosso di Montalcino,,Ferrero
9088,Spain,Northern Spain,Somontano,,Viñas del Vero
9089,Spain,Northern Spain,Ribera del Duero,,Pago de Carraovejas
9091,Italy,Tuscany,Rosso di Montalcino,,Corte Pavone
9092,Italy,Tuscany,Rosso di Montalcino,,Cupano
9093,France,Loire Valley,Muscadet Sèvre et Maine,,Domaine de la Grenaudière
9094,France,Loire Valley,Quincy,,Domaine Lecomte
9097,Portugal,Vinho Verde,,,Adega Cooperativa Ponte de Lima
9099,France,Loire Valley,Sancerre,,Roger et Didier Raimbault
9100,Australia,Tasmania,Tasmania,,Tamar Ridge
9101,South Africa,Simonsberg-Paarl,,,Vrede en Lust
9103,Italy,Tuscany,Brunello di Montalcino,,Vasco Sassetti
9104,Spain,Northern Spain,Rioja,,Vaza
9105,France,Loire Valley,Sancerre,,Joseph Mellot
9106,France,Bordeaux,Cadillac Côtes de Bordeaux,,Château Chatard
9117,Italy,Piedmont,Barbaresco,,Ada Nada
9119,Italy,Piedmont,Barolo,,Cascina Bongiovanni
9120,Italy,Piedmont,Barolo,,Casetta
9121,France,Bordeaux,Médoc,,Château Castera
9122,France,Bordeaux,Haut-Médoc,,Château Gramond
9123,France,Bordeaux,Blaye Côtes de Bordeaux,,Château la Baronnerie
9124,France,Bordeaux,Bordeaux Supérieur,,Château la Verrière
9126,US,California,Santa Barbara,Central Coast,Core Winery
9128,US,California,Alexander Valley,Sonoma,Jordan
9131,Portugal,Douro,,,Quinta Seara d'Ordens
9133,Uruguay,Juanico,,,Familia Deicas
9134,Italy,Veneto,Prosecco,,Banero
9136,US,California,California,California Other,Barefoot
9137,Italy,Veneto,Piave,,Bonotto delle Tezze
9138,US,California,California,California Other,Silver Ridge
9140,Bulgaria,Black Sea Coastal,,,Targovishte
9142,US,California,California,California Other,McManis
9143,US,California,Napa Valley,Napa,Emmolo
9144,US,California,Alexander Valley,Sonoma,Field Stone
9148,Chile,Central Valley,,,Casas del Toqui
9150,Portugal,Trás-os-Montes,,,Valle Pradinhos
9151,Brazil,Santa Catarina,,,Villaggio Grando
9154,Chile,Central Valley,,,oops
9157,US,California,Napa Valley,Napa,Cerruti
9158,US,Oregon,Ribbon Ridge,Willamette Valley,Brick House
9160,France,Bordeaux,Saint-Émilion,,Château Villemaurine
9167,US,California,Dry Creek Valley,Sonoma,Dashe Cellars
9168,US,California,Paso Robles,Central Coast,Dunning Vineyards
9174,US,California,Carneros,Napa-Sonoma,Schermeister
9175,US,Oregon,Willamette Valley,Willamette Valley,Gypsy Dancer
9177,US,California,Sta. Rita Hills,Central Coast,Weatherborne
9178,US,California,Napa Valley,Napa,Tobacco Road
9182,Italy,Central Italy,Montefalco Sagrantino,,Arnaldo Caprai
9186,US,California,Santa Barbara County,Central Coast,Blackjack
9189,US,California,Russian River Valley,Sonoma,Acorn
9191,Spain,Northern Spain,Rioja,,Castillo Clavijo
9193,Italy,Tuscany,Rosso di Montepulciano,,Poliziano
9194,Chile,Central Valley,,,San Elias
9196,Chile,Curicó Valley,,,Tololo
9198,France,Bordeaux,Médoc,,Château Lacombe Noaillac
9199,Chile,Elqui Valley,,,Chono
9207,US,California,California,California Other,Big House
9208,Chile,Colchagua Valley,,,Calcu
9211,France,Languedoc-Roussillon,Vin de Pays des Côtes Catalanes,,Le Cirque
9212,France,Languedoc-Roussillon,Côtes du Roussillon Villages,,Château de Jau
9213,Chile,Maule Valley,,,P.K.N.T.
9215,Spain,Northern Spain,Rueda,,Naia
9216,Italy,Tuscany,Vino Nobile di Montepulciano,,Poggio alla Sala
9218,US,California,Napa Valley,Napa,Tamayo Family
9219,Spain,Northern Spain,Rioja,,Montecillo
9220,US,California,Paso Robles,Central Coast,Orchid Hill
9221,US,California,Chalone,Central Coast,P2
9222,US,California,Malibu-Newton Canyon,South Coast,Rosenthal-Malibu Estate
9224,Spain,Andalucia,Vino de la Tierra Contraviesa Alpujarra,,Dominio Buenavista
9225,Germany,Mosel-Saar-Ruwer,,,Dr. H. Thanisch (Erben Müller-Burggraef)
9227,South Africa,Stellenbosch,,,Warwick
9228,Spain,Northern Spain,Ribera del Duero,,Viña Gormaz
9232,US,California,Malibu-Newton Canyon,South Coast,Surfrider
9234,Australia,South Australia,Adelaide Hills,,Nepenthe
9235,France,Bordeaux,Haut-Médoc,,Château Peyrabon
9236,US,California,Mendocino,,Clos du Bois
9238,US,California,Russian River Valley,Sonoma,Davis Bynum
9239,US,California,Arroyo Seco,Central Coast,DeTierra Vineyards
9240,France,Alsace,Alsace,,Domaine Charles Baur
9244,Italy,Tuscany,Brunello di Montalcino,,Siro Pacenti
9250,US,California,Russian River Valley,Sonoma,K Squared Cellars
9251,Australia,South Australia,McLaren Vale,,Kay Brothers
9255,US,Oregon,Dundee Hills,Willamette Valley,Megan Anne
9271,Italy,Tuscany,Rosso di Montepulciano,,Trerose
9273,Italy,Tuscany,Chianti Classico,,Villa Calcinaia
9275,France,Southwest France,,,Vinovalie
9276,US,California,Russian River Valley,Sonoma,Wait Cellars
9277,US,California,Santa Lucia Highlands,Central Coast,Crespi Ranch
9278,France,Southwest France,Côtes du Tarn,,Domaine D'en Ségur
9279,France,Southwest France,Cahors,,Domaine du Théron
9284,Italy,Tuscany,Rosso di Montepulciano,,Canneto
9286,Portugal,Península de Setúbal,,,Casa Ermelinda Freitas
9287,France,Southwest France,Gaillac,,Château Lastours
9290,US,Oregon,Rogue Valley,Southern Oregon,Deer Creek
9293,Germany,Pfalz,,,Dr. Bürklin-Wolf
9298,Italy,Tuscany,Rosso di Montalcino,,Il Paradiso di Manfredi
9306,France,Beaujolais,Morgon,,Château de Bellevue
9311,France,Rhône Valley,Hermitage,,M. Chapoutier
9323,Italy,Tuscany,Toscana,,PoderNuovo a Palazzone
9326,US,California,Lodi,Central Valley,The Dancing Fox
9330,Italy,Tuscany,Toscana,,Leopoldo I di Toscana
9339,France,Rhône Valley,Côtes du Rhône,,Ogier
9341,Italy,Tuscany,Toscana,,Podere Monastero
9342,Italy,Tuscany,Toscana,,Poggio Mandorlo
9345,Greece,Nemea,,,Semeli
9348,US,California,Mendocino County,,Tom Eddy
9349,Spain,Catalonia,Priorat,,Vega Escal
9351,US,California,Santa Barbara County,Central Coast,YNOT
9353,South Africa,Western Cape,,,KWV
9354,South Africa,Western Cape,,,Thorntree
9358,Spain,Northern Spain,Navarra,,Castillo de Monjardin
9359,Spain,Catalonia,Pla de Bages,,Masies d'Avinyo
9360,Spain,Northern Spain,Ribera del Duero,,Arroyo
9363,Spain,Northern Spain,Ribera del Duero,,Osborne Selección
9364,South Africa,Overberg,,,Slowine
9365,Spain,Central Spain,La Mancha,,Condesa de Leganza
9371,Spain,Northern Spain,Toro,,Estancia Piedra
9384,US,Washington,Columbia Valley (WA),Columbia Valley,Pursued by Bear
9392,US,California,Alexander Valley,Sonoma,Aperture
9393,Austria,Wachau,,,Josef Jamek
9397,US,California,Green Valley,Sonoma,Chenoweth
9399,France,Provence,Côtes de Provence La Londe,,Domaine Saint-André de Figuière
9405,US,California,Russian River Valley,Sonoma,Taft Street
9407,Spain,Northern Spain,Rioja,,Monte Clavijo
9408,Italy,Veneto,Prosecco,,Piera Martellozzo
9409,Argentina,Mendoza Province,Mendoza,,Siesta Wines
9410,US,Virginia,Virginia,,Stanburn
9414,US,California,California,California Other,Bread & Butter
9416,US,California,California,California Other,Back Seat
9419,Argentina,Mendoza Province,Tupungato,,Domaine Jean Bousquet
9420,Argentina,Mendoza Province,Mendoza,,Tamarí
9421,Spain,Central Spain,La Mancha,,Vinícola de Castilla
9426,US,California,Fiddletown,Sierra Foothills,Damas
9427,US,Virginia,Virginia,,Doukénie
9428,Argentina,Mendoza Province,Mendoza,,Casa de Campo
9429,US,California,Paso Robles,Central Coast,Ranchero Cellars
9430,US,California,Paso Robles,Central Coast,San Antonio
9436,Austria,Kremstal,,,Geyerhof
9439,France,Loire Valley,Coteaux du Layon Chaume,,Domaine du Petit Métris
9446,Austria,Kremstal,,,Buchegger
9450,Spain,Northern Spain,Ribera del Duero,,Lecco
9453,US,Washington,Walla Walla Valley (WA),Columbia Valley,Saviah
9454,Italy,Piedmont,Barolo,,Sobrero
9457,US,California,Lodi,Central Valley,The Tribe
9462,Austria,Burgenland,,,Esterházy
9463,US,Washington,Red Mountain,Columbia Valley,Fidelitas
9464,US,California,Chalone,Central Coast,Flywheel
9468,New Zealand,Marlborough,,,Zeal
9469,Italy,Veneto,Prosecco di Valdobbiadene,,Andreola Orsola
9470,Italy,Veneto,Prosecco di Valdobbiadene,,Antonini Ceresa
9473,US,California,Lodi,Central Valley,Christine Andrew
9474,Italy,Veneto,Prosecco di Valdobbiadene,,Colesel
9476,Italy,Lombardy,Lugana,,Costaripa
9482,Italy,Veneto,Prosecco di Valdobbiadene,,Malibràn
9483,Australia,Western Australia,Western Australia,,Strait Jacket
9485,Chile,Colchagua Valley,,,Viña Santa Cruz
9490,Greece,Atalanti Valley,,,Hatzimichalis
9491,New Zealand,Wairau Valley,,,Goldwater
9492,New Zealand,Hawke's Bay,,,Gunn Estate
9493,US,California,San Benito County,Central Coast,Bella Luna
9495,Italy,Piedmont,Dolcetto d'Acqui,,Vigne Regali
9498,US,California,San Francisco Bay,Central Coast,Hestan
9502,US,California,Monterey County,Central Coast,Château Julien
9503,Romania,Sebes,,,Cramele Halewood
9507,US,California,Napa Valley,Napa,Fontanella
9509,,,,,Tsililis
9515,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,Leda
9518,Germany,Mosel,,,Reinhold Haart
9520,US,California,Napa Valley,Napa,Havens
9521,US,California,Yountville,Napa,Liparita
9523,Australia,Victoria,Nagambie Lakes,,Tahbilk
9526,US,California,Contra Costa County,Central Coast,Three
9528,US,California,Diamond Mountain District,Napa,Wallis Family Estate
9531,France,Alsace,Alsace,,Domaine Marcel Deiss
9538,France,Burgundy,Pouilly-Fuissé,,Château de Lavernette
9540,US,California,Napa Valley,Napa,Hertelendy
9545,US,California,Napa Valley,Napa,Addendum
9548,France,Bordeaux,Sauternes,,Château Simon
9550,Portugal,Douro,,,Conceito Vinhos
9553,US,California,Sonoma Coast,Sonoma,Keller
9554,US,California,Ballard Canyon,Central Coast,Kimsey
9556,US,California,Santa Barbara County,Central Coast,Montemar Wines
9558,Portugal,Dão,,,Quinta do Sobral
9568,US,California,Napa Valley,Napa,Chateau Montelena
9569,US,California,Yountville,Napa,Elizabeth Rose
9570,Italy,Italy Other,Vino Spumante,,Luretta
9573,Portugal,Port,,,Quinta da Romaneira
9580,Germany,Mosel,,,Dr. Hermann
9585,Spain,Northern Spain,Rueda,,Viña Vilano
9592,Germany,Mosel,,,Johann Falkenburg
9596,Italy,Italy Other,Vino Spumante,,Ciù Ciù
9604,Spain,Northern Spain,Rioja,,Marqués de Riscal
9605,US,California,Oakville,Napa,Maybach
9618,France,Loire Valley,Vouvray,,Domaine Pichot
9622,Italy,Southern Italy,Salice Salentino,,Petrelli
9632,France,Loire Valley,Muscadet Sèvre et Maine,,Marquis de Goulaine
9633,Italy,Southern Italy,Salento,,Mocavero
9634,US,California,Paso Robles,Central Coast,Wild Coyote
9635,US,Washington,Columbia Valley (WA),Columbia Valley,For a Song
9641,France,Loire Valley,Touraine,,Danielle de l'Ansée
9642,France,Loire Valley,Vouvray,,Domaine Vincent Carême
9646,US,Washington,Columbia Valley (WA),Columbia Valley,Stemilt Creek
9657,Portugal,Douro,,,Adega de Favaios
9658,US,Oregon,Willamette Valley,Willamette Valley,Antiquum Farm
9662,Italy,Piedmont,Barbera d'Alba,,Cascina delle Rose
9665,France,Southwest France,Pacherenc du Vic Bilh,,Château de Gayon
9666,US,California,Sonoma Coast,Sonoma,Della
9673,Israel,Galilee,,,Segal's
9674,Israel,Judean Hills,,,Shiloh Winery
9685,US,California,Napa Valley,Napa,Envy
9692,Spain,Central Spain,Vino de la Tierra de Castilla,,Bodegas del Muni
9694,Spain,Central Spain,Vino de la Tierra de Castilla,,Capa
9695,US,Washington,Columbia Valley (WA),Columbia Valley,Domaine Pouillon
9699,Spain,Central Spain,La Mancha,,Pago de la Jaraba
9701,Spain,Northern Spain,Navarra,,Alzania
9703,Spain,Levante,Jumilla,,Bodegas Bleda
9704,Argentina,Mendoza Province,Mendoza,,Matias Riccitelli
9705,US,California,Rutherford,Napa,McGah Family
9711,Italy,Piedmont,Barbaresco,,Piazzo Armando
9713,Moldova,Moldova,,,Purcari
9715,Portugal,Lisboa,,,Quinta da Casaboa
9716,Portugal,Minho,,,Quinta de Lourosa
9728,Portugal,Douro,,,1912 Winemakers
9732,US,California,Spring Mountain District,Napa,Amici
9734,Italy,Tuscany,Toscana,,I Sodi
9736,US,California,California Other,,Adler Fels
9740,Italy,Veneto,Soave Classico,,Balestri Valda
9746,Israel,Galilee,,,Carmel
9747,US,California,Saddle Rock-Malibu,South Coast,Cielo
9749,Portugal,Alentejo,,,Roquevale
9750,,,,,Ross-idi
9758,South Africa,Western Cape,,,Tokara
9760,Germany,Mosel,,,Bollig-Lehnert
9762,Hungary,Tokaj,,,Kikelet
9763,US,California,Lodi,Central Valley,LangeTwins
9764,France,Burgundy,Aloxe-Corton,,Corton André
9768,US,California,Carneros,Napa-Sonoma,Adastra
9769,France,Burgundy,La Grande Rue,,Domaine François Lamarche
9770,Germany,Mosel-Saar-Ruwer,,,Schmitges
9771,US,California,Alexander Valley,Sonoma,Joseph Family
9777,Germany,Mosel-Saar-Ruwer,,,Kurt Hain
9778,Argentina,Mendoza Province,Uco Valley,,Flechas de los Andes
9782,France,Burgundy,Vougeot,,Domaine de la Vougeraie
9785,US,Washington,Walla Walla Valley (WA),Columbia Valley,JLC
9794,US,California,Diamond Mountain District,Napa,Mueller Family Vineyards
9799,Portugal,Alentejo,,,Sogrape
9802,US,Oregon,Willamette Valley,Willamette Valley,Territorial
9803,France,Southwest France,Jurançon,,Domaine Coustarret
9806,US,California,Santa Lucia Highlands,Central Coast,Boekenoogen
9808,Australia,South Australia,Wrattonbully,,Casella
9812,Greece,Mantinia,,,Dionysos
9816,Italy,Tuscany,Chianti Classico,,Badia a Coltibuono
9827,Italy,Central Italy,Rosso Conero,,Conti Leopardi di San Leopardo
9828,Australia,South Australia,McLaren Vale,,Hugh Hamilton
9831,US,California,Napa Valley,Napa,Sensorium
9834,Italy,Northeastern Italy,Trentino,,Bottega Vinaia
9835,US,California,Russian River Valley,Sonoma,Russian Hill
9840,US,New York,North Fork of Long Island,Long Island,Sherwood House Vineyards
9843,France,Languedoc-Roussillon,Pays d'Oc,,Villa des Anges
9846,US,California,California,California Other,Lander-Jenkins
9848,US,California,Santa Cruz Mountains,Central Coast,Left Bend
9851,Spain,Catalonia,Cava,,Mont Marçal
9853,US,California,Lodi,Central Valley,Old Soul
9861,France,Burgundy,Pouilly-Fuissé,,Hervé Kerlann
9863,Italy,Central Italy,Lambrusco di Sorbara,,Cantina di Sorbara
9865,France,Provence,Côtes de Provence,,Château du Carrubier
9866,US,Washington,Horse Heaven Hills,Columbia Valley,Coyote Canyon
9867,France,Burgundy,Mâcon-Cruzille,,Domaine de l'Echelette
9868,Italy,Veneto,Soave,,Tamellini
9869,US,California,California,California Other,Three Thieves
9871,US,California,San Luis Obispo County,Central Coast,Trenza
9872,South Africa,Robertson,,,Van Loveren
9873,Italy,Tuscany,Brunello di Montalcino,,Ventolaio
9877,Italy,Veneto,Soave Classico,,Cantina di Monteforte
9880,South Africa,Robertson,,,De Wetshof
9881,US,California,Alexander Valley,Sonoma,DeLorimier
9882,France,Southwest France,Cahors,,Domaine de Dauliac
9883,France,Burgundy,Chorey-lès-Beaune,,Domaine Laleure-Piot
9884,South Africa,Stellenbosch,,,Glenelly
9888,South Africa,Overberg,,,Luddite
9889,Italy,Veneto,Valdobbiadene Superiore di Cartizze,,Merotto
9892,Bulgaria,Thracian Valley,,,Domaine Boyar
9894,France,Rhône Valley,Côtes du Rhône,,Léon Perdigal
9896,South Africa,Swartland,,,Painted Wolf
9903,France,Alsace,Alsace,,Julien Schaal
9909,England,England,,,Nyetimber
9916,US,California,Spring Mountain District,Napa,Galerie
9918,France,Alsace,Alsace,,Jean Biecher & Fils
9929,Australia,South Australia,Clarendon,,Joseph
9933,Germany,Rheingau,,,Schumann-Nägler
9934,Italy,Veneto,Prosecco di Valdobbiadene,,Sorelle Bronca
9940,US,Washington,Walla Walla Valley (WA),Columbia Valley,Nicholas Cole Cellars
9950,US,Oregon,McMinnville,Willamette Valley,J Wrigley
9954,Italy,Sicily & Sardinia,Sicilia,,Marilena Barbera
9955,US,California,Paso Robles,Central Coast,McClean
9960,Spain,Northern Spain,Rueda,,Paramus
9961,New Zealand,Marlborough,,,Lake Chalice
9962,US,Virginia,Virginia,,Winery at La Grange
9966,Italy,Sicily & Sardinia,Terre Siciliane,,Spadafora
9968,Italy,Sicily & Sardinia,Sicilia,,Tenuta Gorghi Tondi
9969,Italy,Sicily & Sardinia,Etna,,Terrazze dell'Etna
9972,Italy,Sicily & Sardinia,Sicilia,,Alessandro di Camporeale
9973,Italy,Sicily & Sardinia,Terre Siciliane,,Barone Montalto
9975,US,California,North Coast,North Coast,Chloe
9976,Italy,Sicily & Sardinia,Etna,,Contrada Santo Spirito di Passopisciaro
9977,US,Washington,Yakima Valley,Columbia Valley,Kana
9981,US,California,Red Hills Lake County,,McDermaid
9983,New Zealand,Marlborough,,,Nick Goldschmidt
9988,Italy,Piedmont,Barbera d'Asti Superiore,,Castello di Razzano
9989,Italy,Piedmont,Barbera d'Asti,,Marchesi Alfieri
9994,New Zealand,Marlborough,,,Ponga
9995,US,California,Sonoma Coast,Sonoma,Roessler
10011,France,Bordeaux,Montagne-Saint-Émilion,,Château de Malengin
10018,France,Champagne,Champagne,,Vincent Couche
10021,US,California,Napa Valley,Napa,Hourglass
10022,France,Burgundy,Saint-Aubin,,Jean-Claude Boisset
10023,France,Champagne,Champagne,,Lelarge-Pugeot
10029,Spain,Central Spain,Vino de la Tierra de Castilla,,Dehesa de los Llanos
10030,Italy,Southern Italy,Greco di Tufo,,I Favati
10032,Spain,Northern Spain,Rioja,,Viña Herminia
10044,Argentina,Mendoza Province,Mendoza,,Andean
